# Results of applying herd to all litmus tests with "exists" conditions.
# 
# herd: 7.56+03, Rev: exported
# herd -model aarch64.cat TEST.litmus 
#
# Tests where "Always" or "Sometimes" with "exists" was observed are marked "Allow".
# Tests where "Never" with "exists" was observed are marked "Forbid".
# Tests where "Always" with "forall" was observed are marked "Allow".
# Tests where "Sometimes" or "Never" with "forall" was observed are marked "Forbid".
# 
# The tests where executed using runall-HERD7.py.
# Date: 230624-04:41

Z6.2+po+ctrl+ctrl Allow
Z6.2+po+ctrl+data Allow
Z6.2+po+ctrl+po Allow
Z6.2+po+data+addr Allow
Z6.2+po+data+ctrl Allow
Z6.2+po+po+addr Allow
Z6.2+po+po+ctrl Allow
Z6.3+po+po+ctrl Allow
coRW1+o+o Forbid
coWW+o+o Forbid
coRR+o-o+o Forbid
coRW2+o+o Forbid
coWR+o+o Forbid
2+2W+poonceonce+pooncerelease Allow
2+2W+poonceonce+poreleaseonce Allow
2+2W+poonceonce+poreleaserelease Allow
2+2W+pooncerelease+poreleaseonce Allow
2+2W+pooncerelease+poreleaserelease Forbid
2+2W+pooncereleases Forbid
2+2W+poreleaseonce+poreleaserelease Allow
2+2W+poreleaseonces Allow
2+2W+poreleasereleases Forbid
lb+acq-o+acq-o Forbid
lb+rel-acq+rel-acq Forbid
LB+ctrlonceonce+poacquireonce Forbid
LB+ctrlonceonce+poacquirerelease Forbid
LB+ctrlonceonce+pooncerelease Forbid
lb+o-o+o-o Allow
lb+o-rel+acq-o Forbid
lb+o-rel+o-rel Forbid
LB+poacquireonce+poacquirerelease Forbid
LB+poacquireonce+poonceonce Allow
LB+poacquireonce+pooncerelease Forbid
LB+poacquireonces Forbid
LB+poacquirerelease+poonceonce Allow
